sv,P,dt,dion,dtrop
G08,22550792.660, 0.00013345632,3.344,4.055
G10,22612136.900, 0.000046155711,2.947,4.297
G21,20754631.240,-0.00015182034,2.505,2.421
G24,23974471.500, 0.00026587520,3.644,9.055
G17,24380357.760,-0.00072144074,6.786,9.756
G03,24444143.500, 0.00022187057,4.807,10.863
G14,22891323.280,-0.00013020719,4.598,4.997
